Time,T0,u0,Te0,T1,u1,Te1,T2,u2,Te2,T3,u3,Te3,T4,u4,Te4,T5,u5,Te5,T6,u6,Te6,T7,u7,Te7,T8,u8,Te8,T9,u9,Te9,T10,u10,Te10,T11,u11,Te11
 01/01  01:00:00,15.98406159,0,8.605500018,15.92066124,0,8.605500018,16.59434456,0,8.605500018,20,20,8.605500018,18.02165382,0,8.605500018,16.91437345,0,8.605500018,20,20,8.605500018,20,20,8.605500018,15.98236073,0,8.605500018,16.76718872,0,8.605500018,20,20,8.605500018,20,20,8.605500018
 01/01  02:00:00,15.92777745,0,8.880500018,15.89643439,0,8.880500018,16.54026899,0,8.880500018,20,20,8.880500018,17.97003611,0,8.880500018,16.89257496,0,8.880500018,20,20,8.880500018,20,20,8.880500018,15.96133413,0,8.880500018,16.68528917,0,8.880500018,20,20,8.880500018,20,20,8.880500018
 01/01  03:00:00,15.91054603,0,9.305500018,15.90410583,0,9.305500018,16.52818494,0,9.305500018,20,20,9.305500018,17.9256501,0,9.305500018,16.91182486,0,9.305500018,20,20,9.305500018,20,20,9.305500018,15.97218974,0,9.305500018,16.64134191,0,9.305500018,20,20,9.305500018,20,20,9.305500018
 01/01  04:00:00,15.75853084,0,9.068000018,15.78633575,0,9.068000018,16.37420654,0,9.068000018,20,20,9.068000018,17.74927312,0,9.068000018,16.79018596,0,9.068000018,20,20,9.068000018,20,20,9.068000018,15.85250508,0,9.068000018,16.46538318,0,9.068000018,20,20,9.068000018,20,20,9.068000018
 01/01  05:00:00,15.57625639,0,8.318000018,15.63931115,0,8.318000018,16.19336451,0,8.318000018,20,20,8.318000018,17.61764735,0,8.318000018,16.64746974,0,8.318000018,20,20,8.318000018,20,20,8.318000018,15.70406959,0,8.318000018,16.27381998,0,8.318000018,20,20,8.318000018,20,20,8.318000018
 01/01  06:00:00,15.43909477,0,7.418000018,15.53429849,0,7.418000018,16.06209926,0,7.418000018,20,20,7.418000018,17.53109373,0,7.418000018,16.55985748,0,7.418000018,20,20,7.418000018,20,20,7.418000018,15.59647337,0,7.418000018,16.13160876,0,7.418000018,20,20,7.418000018,20,20,7.418000018
 01/01  07:00:00,15.16478349,0,5.705500018,15.282442,0,5.705500018,15.79408685,0,5.705500018,20,20,5.705500018,17.31803019,0,5.705500018,16.32498383,0,5.705500018,20,20,5.705500018,20,20,5.705500018,15.3529504,0,5.705500018,15.84320208,0,5.705500018,20,20,5.705500018,20,20,5.705500018
 01/01  08:00:00,14.89849312,0,4.693000018,15.03585051,0,4.693000018,15.53806135,0,4.693000018,20,20,4.693000018,17.12273517,0,4.693000018,16.09674026,0,4.693000018,20,20,4.693000018,20,20,4.693000018,15.10926599,0,4.693000018,15.56907473,0,4.693000018,20,20,4.693000018,20,20,4.693000018
 01/01  09:00:00,14.71694046,0,4.455500018,14.87920567,0,4.455500018,15.36523652,0,4.455500018,20,20,4.455500018,16.9786216,0,4.455500018,15.95682163,0,4.455500018,20,20,4.455500018,20,20,4.455500018,14.95543465,0,4.455500018,15.37842353,0,4.455500018,20,20,4.455500018,20,20,4.455500018
 01/01  10:00:00,14.57601833,0,4.193000018,14.76332964,0,4.193000018,15.23387317,0,4.193000018,20,20,4.193000018,16.8752958,0,4.193000018,15.85683996,0,4.193000018,20,20,4.193000018,20,20,4.193000018,14.84046497,0,4.193000018,15.23015169,0,4.193000018,20,20,4.193000018,20,20,4.193000018
 01/01  11:00:00,14.62426384,0,5.643000018,14.83953253,0,5.643000018,15.29222126,0,5.643000018,20,20,5.643000018,16.94313804,0,5.643000018,15.94115462,0,5.643000018,20,20,5.643000018,20,20,5.643000018,14.91178124,0,5.643000018,15.27838787,0,5.643000018,20,20,5.643000018,20,20,5.643000018
 01/01  12:00:00,14.87470775,0,8.205500018,15.1170837,0,8.205500018,15.5541689,0,8.205500018,20,20,8.205500018,17.14241253,0,8.205500018,16.2180094,0,8.205500018,20,20,8.205500018,20,20,8.205500018,15.1807978,0,8.205500018,15.53163137,0,8.205500018,20,20,8.205500018,20,20,8.205500018
 01/01  13:00:00,15.22981806,0,10.74300002,15.48336522,0,10.74300002,15.92650441,0,10.74300002,20,20,10.74300002,17.39438522,0,10.74300002,16.59447083,0,10.74300002,20,20,10.74300002,20,20,10.74300002,15.54008163,0,10.74300002,15.91734365,0,10.74300002,20,20,10.74300002,20,20,10.74300002
 01/01  14:00:00,15.6499704,0,11.86800002,15.81848337,0,11.86800002,16.35521215,0,11.86800002,20,20,11.86800002,17.76928039,0,11.86800002,16.93418026,0,11.86800002,20,20,11.86800002,20,20,11.86800002,15.86416962,0,11.86800002,16.55348088,0,11.86800002,20.03441492,20,11.86800002,20,20,11.86800002
 01/01  15:00:00,16.19582908,0,12.23050002,16.06587689,0,12.23050002,16.89286662,0,12.23050002,20,20,12.23050002,18.3123128,0,12.23050002,17.16469913,0,12.23050002,20,20,12.23050002,20,20,12.23050002,16.09874301,0,12.23050002,17.31500216,0,12.23050002,20.49033761,20,12.23050002,20,20,12.23050002
 01/01  16:00:00,16.73566161,0,12.56800002,16.23298755,0,12.56800002,17.42480239,0,12.56800002,20,20,12.56800002,18.81061661,0,12.56800002,17.32003354,0,12.56800002,20,20,12.56800002,20,20,12.56800002,16.25798991,0,12.56800002,17.85136446,0,12.56800002,20.87051372,20,12.56800002,20,20,12.56800002
 01/01  17:00:00,16.80220374,0,12.55550002,16.29196571,0,12.55550002,17.49008211,0,12.55550002,20,20,12.55550002,18.80222469,0,12.55550002,17.37278027,0,12.55550002,20,20,12.55550002,20,20,12.55550002,16.31826105,0,12.55550002,17.84839708,0,12.55550002,20.704546,20,12.55550002,20,20,12.55550002
 01/01  18:00:00,16.68893713,0,12.29300002,16.29188183,0,12.29300002,17.3748308,0,12.29300002,20,20,12.29300002,18.67479166,0,12.29300002,17.36072534,0,12.29300002,20,20,12.29300002,20,20,12.29300002,16.32293579,0,12.29300002,17.71331474,0,12.29300002,20.41104567,20,12.29300002,20,20,12.29300002
 01/01  19:00:00,16.62622394,0,12.05550002,16.29335282,0,12.05550002,17.30115755,0,12.05550002,20,20,12.05550002,18.59304446,0,12.05550002,17.34663339,0,12.05550002,20,20,12.05550002,20,20,12.05550002,16.32938524,0,12.05550002,17.6228424,0,12.05550002,20.19226797,20,12.05550002,20,20,12.05550002
