Time,Te,T0,Tmean0,uh0,uc0,qS0,quh0,T1,Tmean1,uh1,uc1,qS1,quh1,T2,Tmean2,uh2,uc2,qS2,quh2,T3,Tmean3,uh3,uc3,qS3,quh3,T4,Tmean4,uh4,uc4,qS4,quh4,T5,Tmean5,uh5,uc5,qS5,quh5,T6,Tmean6,uh6,uc6,qS6,quh6,T7,Tmean7,uh7,uc7,qS7,quh7,T8,Tmean8,uh8,uc8,qS8,quh8,T9,Tmean9,uh9,uc9,qS9,quh9,T10,Tmean10,uh10,uc10,qS10,quh10,T11,Tmean11,uh11,uc11,qS11,quh11
 01/01  01:00:00,8.605500018,15.98406159,15.98406159,0,0,0,0,15.92066124,15.92066124,0,26,0,0,16.59434456,16.59434456,0,26,0,0,20,20,20,26,0,186.0736007,18.02165382,18.02165382,0,26,0,0,16.91437345,16.91437345,0,26,0,0,20,20,20,26,0,160.3470548,20,20,20,26,0,83.13636252,15.98236073,15.98236073,0,26,0,0,16.76718872,16.76718872,0,0,0,0,20,20,20,26,0,281.552592,20,20,20,26,0,312.2179037
 01/01  02:00:00,8.880500018,15.92777745,15.92777745,0,0,0,0,15.89643439,15.89643439,0,26,0,0,16.54026899,16.54026899,0,26,0,0,20,20,20,26,0,184.5187333,17.97003611,17.97003611,0,26,0,0,16.89257496,16.89257496,0,26,0,0,20,20,20,26,0,161.3877192,20,20,20,26,0,81.63653699,15.96133413,15.96133413,0,26,0,0,16.68528917,16.68528917,0,0,0,0,20,20,20,26,0,280.2919037,20,20,20,26,0,311.7354766
 01/01  03:00:00,9.305500018,15.91054603,15.91054603,0,0,0,0,15.90410583,15.90410583,0,26,0,0,16.52818494,16.52818494,0,26,0,0,20,20,20,26,0,181.9477871,17.9256501,17.9256501,0,26,0,0,16.91182486,16.91182486,0,26,0,0,20,20,20,26,0,161.1238489,20,20,20,26,0,79.08758789,15.97218974,15.97218974,0,26,0,0,16.64134191,16.64134191,0,0,0,0,20,20,20,26,0,271.4192429,20,20,20,26,0,307.6280409
 01/01  04:00:00,9.068000018,15.75853084,15.75853084,0,0,0,0,15.78633575,15.78633575,0,26,0,0,16.37420654,16.37420654,0,26,0,0,20,20,20,26,0,198.8307413,17.74927312,17.74927312,0,26,0,0,16.79018596,16.79018596,0,26,0,0,20,20,20,26,0,180.1632183,20,20,20,26,0,81.66518424,15.85250508,15.85250508,0,26,0,0,16.46538318,16.46538318,0,0,0,0,20,20,20,26,0,317.9569026,20,20,20,26,0,318.4773799
 01/01  05:00:00,8.318000018,15.57625639,15.57625639,0,0,0,0,15.63931115,15.63931115,0,26,0,0,16.19336451,16.19336451,0,26,0,0,20,20,20,26,0,210.7109836,17.61764735,17.61764735,0,26,0,0,16.64746974,16.64746974,0,26,0,0,20,20,20,26,0,194.092821,20,20,20,26,0,88.39609354,15.70406959,15.70406959,0,26,0,0,16.27381998,16.27381998,0,0,0,0,20,20,20,26,0,365.257906,20,20,20,26,0,342.3161136
 01/01  06:00:00,7.418000018,15.43909477,15.43909477,0,0,0,0,15.53429849,15.53429849,0,26,0,0,16.06209926,16.06209926,0,26,0,0,20,20,20,26,0,215.9027001,17.53109373,17.53109373,0,26,0,0,16.55985748,16.55985748,0,26,0,0,20,20,20,26,0,201.960181,20,20,20,26,0,96.60221343,15.59647337,15.59647337,0,26,0,0,16.13160876,16.13160876,0,0,0,0,20,20,20,26,0,402.3660223,20,20,20,26,0,370.7553896
 01/01  07:00:00,5.705500018,15.16478349,15.16478349,0,0,0,0,15.282442,15.282442,0,26,0,0,15.79408685,15.79408685,0,26,0,0,20,20,20,26,0,241.9458608,17.31803019,17.31803019,0,26,0,0,16.32498383,16.32498383,0,26,0,0,20,20,20,26,0,227.5326016,20,20,20,26,0,111.4093203,15.3529504,15.3529504,0,26,0,0,15.84320208,15.84320208,0,0,0,0,20,20,20,26,0,502.5080661,20,20,20,26,0,418.5931991
 01/01  08:00:00,4.693000018,14.89849312,14.89849312,0,0,0,0,15.03585051,15.03585051,0,26,0,0,15.53806135,15.53806135,0,26,0,0,20,20,20,26,0,262.2491272,17.12273517,17.12273517,0,26,0,0,16.09674026,16.09674026,0,26,0,0,20,20,20,26,0,246.9835277,20,20,20,26,0,121.1632057,15.10926599,15.10926599,0,26,0,0,15.56907473,15.56907473,0,0,0,0,20,20,20,26,0,568.1719413,20,20,20,26,0,451.7604065
 01/01  09:00:00,4.455500018,14.71694046,14.71694046,0,0,9.162913803,0,14.87920567,14.87920567,0,26,9.160576983,0,15.36523652,15.36523652,0,26,9.162913803,0,20,20,20,26,9.047384343,270.4412703,16.9786216,16.9786216,0,26,9.162913803,0,15.95682163,15.95682163,0,26,8.342011196,0,20,20,20,26,9.162913803,255.8291342,20,20,20,26,0,125.4461442,14.95543465,14.95543465,0,26,8.753114279,0,15.37842353,15.37842353,0,0,9.162913803,0,20,20,20,26,18.32582761,592.262584,20,20,20,26,0,469.0320904
 01/01  10:00:00,4.193000018,14.57601833,14.57601833,0,0,31.23959298,0,14.76332964,14.76332964,0,26,31.25030731,0,15.23387317,15.23387317,0,26,31.23959298,0,20,20,20,26,30.84238521,272.6639241,16.8752958,16.8752958,0,26,31.23959298,0,15.85683996,15.85683996,0,26,28.3657358,0,20,20,20,26,31.23959298,258.7116456,20,20,20,26,0,130.2170715,14.84046497,14.84046497,0,26,29.76957667,0,15.23015169,15.23015169,0,0,31.26705943,0,20,20,20,26,62.53411885,604.7500717,20,20,20,26,0,487.4200379
 01/01  11:00:00,5.643000018,14.62426384,14.62426384,0,0,53.84035101,0,14.83953253,14.83953253,0,26,55.83500892,0,15.29222126,15.29222126,0,26,53.84035101,0,20,20,20,26,55.11273046,248.048266,16.94313804,16.94313804,0,26,53.84035101,0,15.94115462,15.94115462,0,26,49.30595159,0,20,20,20,26,53.84035101,235.4442864,20,20,20,26,0,121.1729577,14.91178124,14.91178124,0,26,51.24371751,0,15.27838787,15.27838787,0,0,58.07834072,0,20,20,20,26,116.1566814,517.3862221,20,20,20,26,0,463.0669878
 01/01  12:00:00,8.205500018,14.87470775,14.87470775,0,0,68.88285162,0,15.1170837,15.1170837,0,26,70.78753015,0,15.5541689,15.5541689,0,26,68.88285162,0,20,20,20,26,69.85285825,205.8383985,17.14241253,17.14241253,0,26,68.88285162,0,16.2180094,16.2180094,0,26,63.05898952,0,20,20,20,26,68.88285162,194.703756,20,20,20,26,0,102.9063141,15.1807978,15.1807978,0,26,65.52627361,0,15.53163137,15.53163137,0,0,77.78035865,0,20,20,20,26,155.5607173,364.6487743,20,20,20,26,0,408.8522354
 01/01  13:00:00,10.74300002,15.22981806,15.22981806,0,0,86.84013353,0,15.48336522,15.48336522,0,26,81.56106208,0,15.92650441,15.92650441,0,26,86.84013353,0,20,20,20,26,80.31123971,162.82116,17.39438522,17.39438522,0,26,86.84013353,0,16.59447083,16.59447083,0,26,73.43111833,0,20,20,20,26,86.84013353,151.5958524,20,20,20,26,0,83.93865859,15.54008163,15.54008163,0,26,77.00417835,0,15.91734365,15.91734365,0,0,129.0921343,0,20,20,20,26,258.1842687,199.1145808,20,20,20,26,0,350.0441772
 01/01  14:00:00,11.86800002,15.6499704,15.6499704,0,0,192.4162799,0,15.81848337,15.81848337,0,26,108.4727902,0,16.35521215,16.35521215,0,26,192.4162799,0,20,20,20,26,106.4750224,129.199743,17.76928039,17.76928039,0,26,192.4162799,0,16.93418026,16.93418026,0,26,96.87127771,0,20,20,20,26,192.4162799,101.6230938,20,20,20,26,0,74.41803945,15.86416962,15.86416962,0,26,101.5182966,0,16.55348088,16.55348088,0,0,321.7667888,0,20.03441492,20.03441492,20,26,643.5335777,28.80590929,20,20,20,26,0,316.4032609
 01/01  15:00:00,12.23050002,16.19582908,16.19582908,0,0,305.1397402,0,16.06587689,16.06587689,0,26,95.54017421,0,16.89286662,16.89286662,0,26,305.1397402,0,20,20,20,26,93.48276008,111.3230423,18.3123128,18.3123128,0,26,305.1397402,0,17.16469913,17.16469913,0,26,84.4404315,0,20,20,20,26,305.1397402,44.90571113,20,20,20,26,0,69.18472126,16.09874301,16.09874301,0,26,88.44866183,0,17.31500216,17.31500216,0,0,412.8809482,0,20.49033761,20.49033761,20,26,825.7618965,0,20,20,20,26,0,288.9204467
 01/01  16:00:00,12.56800002,16.73566161,16.73566161,0,0,286.106169,0,16.23298755,16.23298755,0,26,54.03499631,0,17.42480239,17.42480239,0,26,286.106169,0,20,20,20,26,52.72603216,106.3508913,18.81061661,18.81061661,0,26,286.106169,0,17.32003354,17.32003354,0,26,47.24014261,0,20,20,20,26,286.106169,4.126327188,20,20,20,26,0,63.35010844,16.25798991,16.25798991,0,26,49.54547873,0,17.85136446,17.85136446,0,0,301.73671,0,20.87051372,20.87051372,20,26,603.47342,0,20,20,20,26,0,253.1337071
 01/01  17:00:00,12.55550002,16.80220374,16.80220374,0,0,41.72924984,0,16.29196571,16.29196571,0,26,11.98333634,0,17.49008211,17.49008211,0,26,41.72924984,0,20,20,20,26,11.77768877,114.8134011,18.80222469,18.80222469,0,26,41.72924984,0,17.37278027,17.37278027,0,26,10.72583617,0,20,20,20,26,41.72924984,26.68192873,20,20,20,26,0,60.24369006,16.31826105,16.31826105,0,26,11.2621832,0,17.84839708,17.84839708,0,0,36.51336127,0,20.704546,20.704546,20,26,73.02672254,0,20,20,20,26,0,225.9430847
 01/01  18:00:00,12.29300002,16.68893713,16.68893713,0,0,0,0,16.29188183,16.29188183,0,26,0,0,17.3748308,17.3748308,0,26,0,0,20,20,20,26,0,126.0178562,18.67479166,18.67479166,0,26,0,0,17.36072534,17.36072534,0,26,0,0,20,20,20,26,0,54.68973298,20,20,20,26,0,59.61302938,16.32293579,16.32293579,0,26,0,0,17.71331474,17.71331474,0,0,0,0,20.41104567,20.41104567,20,26,0,0,20,20,20,26,0,216.4495044
 01/01  19:00:00,12.05550002,16.62622394,16.62622394,0,0,0,0,16.29335282,16.29335282,0,26,0,0,17.30115755,17.30115755,0,26,0,0,20,20,20,26,0,132.951697,18.59304446,18.59304446,0,26,0,0,17.34663339,17.34663339,0,26,0,0,20,20,20,26,0,73.04519546,20,20,20,26,0,59.45861729,16.32938524,16.32938524,0,26,0,0,17.6228424,17.6228424,0,0,0,0,20.19226797,20.19226797,20,26,0,0,20,20,20,26,0,216.5482181
 01/01  20:00:00,11.79300002,16.57031055,16.57031055,0,0,0,0,16.29026195,16.29026195,0,26,0,0,17.23205069,17.23205069,0,26,0,0,20,20,20,26,0,138.6200589,18.51863264,18.51863264,0,26,0,0,17.32979584,17.32979584,0,26,0,0,20,20,20,26,0,87.65264132,20,20,20,26,0,60.02986349,16.33109672,16.33109672,0,26,0,0,17.53205607,17.53205607,0,0,0,0,20.0209284,20.0209284,20,26,0,8.933160351,20,20,20,26,0,221.7642904
 01/01  21:00:00,11.43050002,16.50374405,16.50374405,0,0,0,0,16.27131571,16.27131571,0,26,0,0,17.1524793,17.1524793,0,26,0,0,20,20,20,26,0,144.936834,18.44109994,18.44109994,0,26,0,0,17.29821612,17.29821612,0,26,0,0,20,20,20,26,0,101.1646028,20,20,20,26,0,61.83837389,16.31640728,16.31640728,0,26,0,0,17.4264651,17.4264651,0,0,0,0,20,20,20,26,0,57.6304066,20,20,20,26,0,231.5725972
 01/01  22:00:00,11.09300002,16.4304918,16.4304918,0,0,0,0,16.24190472,16.24190472,0,26,0,0,17.06764514,17.06764514,0,26,0,0,20,20,20,26,0,150.9912673,18.36294911,18.36294911,0,26,0,0,17.25888443,17.25888443,0,26,0,0,20,20,20,26,0,113.0847577,20,20,20,26,0,63.80936606,16.29098384,16.29098384,0,26,0,0,17.3137694,17.3137694,0,0,0,0,20,20,20,26,0,101.7388757,20,20,20,26,0,241.9570448
 01/01  23:00:00,10.35550002,16.31326714,16.31326714,0,0,0,0,16.1665172,16.1665172,0,26,0,0,16.93858455,16.93858455,0,26,0,0,20,20,20,26,0,161.8608964,18.25744226,18.25744226,0,26,0,0,17.17532018,17.17532018,0,26,0,0,20,20,20,26,0,128.7622168,20,20,20,26,0,69.14492348,16.21988845,16.21988845,0,26,0,0,17.15825434,17.15825434,0,0,0,0,20,20,20,26,0,160.6681015,20,20,20,26,0,262.204534
 01/01  24:00:00,9.355500018,16.13711999,16.13711999,0,0,0,0,16.03449132,16.03449132,0,26,0,0,16.75145316,16.75145316,0,26,0,0,20,20,20,26,0,176.6284851,18.12313684,18.12313684,0,26,0,0,17.03544041,17.03544041,0,26,0,0,20,20,20,26,0,147.4928039,20,20,20,26,0,76.91661754,16.09299589,16.09299589,0,26,0,0,16.94798908,16.94798908,0,0,0,0,20,20,20,26,0,230.8015628,20,20,20,26,0,289.6159759
 01/02  01:00:00,9.605500018,16.05590446,16.05590446,0,0,0,0,19.99529652,19.99529652,20,26,0,660.5526486,16.66776551,16.66776551,0,26,0,0,18.81074722,18.81074722,0,26,0,0,18.05257115,18.05257115,0,26,0,0,16.99174133,16.99174133,0,26,0,0,18.94196126,18.94196126,0,26,0,0,20,20,20,26,0,75.40710678,16.05203365,16.05203365,0,26,0,0,16.8407284,16.8407284,0,0,0,0,20,20,20,26,0,238.1022002,20,20,20,26,0,289.0444106
 01/02  02:00:00,9.293000018,15.96354626,15.96354626,0,0,0,0,20,20,20,26,0,471.4644972,16.57708898,16.57708898,0,26,0,0,18.28452139,18.28452139,0,26,0,0,17.95150228,17.95150228,0,26,0,0,16.93688982,16.93688982,0,26,0,0,18.44646942,18.44646942,0,26,0,0,20,20,20,26,0,78.60805597,15.9974023,15.9974023,0,26,0,0,16.71766202,16.71766202,0,0,0,0,20,20,20,26,0,269.6595457,20,20,20,26,0,300.4723669
 01/02  03:00:00,8.193000018,15.75246101,15.75246101,0,0,0,0,20,20,20,26,0,400.6102246,16.36663063,16.36663063,0,26,0,0,17.94860731,17.94860731,0,26,0,0,17.78962578,17.78962578,0,26,0,0,16.75840712,16.75840712,0,26,0,0,18.09762229,18.09762229,0,26,0,0,20,20,20,26,0,88.13669348,15.82945677,15.82945677,0,26,0,0,16.48221445,16.48221445,0,0,0,0,20,20,20,26,0,340.5965284,20,20,20,26,0,330.2876132
 01/02  04:00:00,7.093000018,15.51835771,15.51835771,0,0,0,0,20,20,20,26,0,370.2888096,16.13885369,16.13885369,0,26,0,0,17.6288418,17.6288418,0,26,0,0,17.60011409,17.60011409,0,26,0,0,16.55998427,16.55998427,0,26,0,0,17.75320539,17.75320539,0,26,0,0,20,20,20,26,0,97.99357476,15.62811903,15.62811903,0,26,0,0,16.22435735,16.22435735,0,0,0,0,20,20,20,26,0,412.4151244,20,20,20,26,0,362.5835516
 01/02  05:00:00,6.868000018,15.35041581,15.35041581,0,0,0,0,20,20,20,26,0,346.7626232,15.97806657,15.97806657,0,26,0,0,17.39085834,17.39085834,0,26,0,0,17.45640804,17.45640804,0,26,0,0,16.42415395,16.42415395,0,26,0,0,17.48564895,17.48564895,0,26,0,0,20,20,20,26,0,101.340288,15.49303109,15.49303109,0,26,0,0,16.02685233,16.02685233,0,0,0,0,20,20,20,26,0,439.6461415,20,20,20,26,0,376.8452364
 01/02  06:00:00,7.168000018,15.25077355,15.25077355,0,0,0,0,20,20,20,26,0,325.0843672,15.88592809,15.88592809,0,26,0,0,17.23254358,17.23254358,0,26,0,0,17.34979519,17.34979519,0,26,0,0,16.35600676,16.35600676,0,26,0,0,17.29524106,17.29524106,0,26,0,0,20,20,20,26,0,100.88564,15.42687481,15.42687481,0,26,0,0,15.89532341,15.89532341,0,0,0,0,20,20,20,26,0,437.750242,20,20,20,26,0,380.5532598
 01/02  07:00:00,7.468000018,15.16230477,15.16230477,0,0,0,0,20,20,20,26,0,308.4394323,15.80691829,15.80691829,0,26,0,0,17.09621006,17.09621006,0,26,0,0,17.25093431,17.25093431,0,26,0,0,16.30147159,16.30147159,0,26,0,0,17.12699393,17.12699393,0,26,0,0,20,20,20,26,0,100.5593392,15.37171456,15.37171456,0,26,0,0,15.77566325,15.77566325,0,0,0,0,20,20,20,26,0,433.7588326,20,20,20,26,0,384.8451692
 01/02  08:00:00,7.518000018,15.06572754,15.06572754,0,0,0,0,20,20,20,26,0,298.1829268,15.72041682,15.72041682,0,26,0,0,16.95811042,16.95811042,0,26,0,0,17.14819922,17.14819922,0,26,0,0,16.23682159,16.23682159,0,26,0,0,16.95766207,16.95766207,0,26,0,0,20,20,20,26,0,102.1648319,15.30711084,15.30711084,0,26,0,0,15.64946782,15.64946782,0,0,0,0,20,20,20,26,0,440.3705351,20,20,20,26,0,394.9056734
 01/02  09:00:00,7.418000018,14.98782739,14.98782739,0,0,25.13785181,0,20,20,20,26,87.9471179,273.0143976,15.65110046,15.65110046,0,26,25.13785181,0,16.91204449,16.91204449,0,26,85.57105639,0,17.07802676,17.07802676,0,26,25.13785181,0,16.18337856,16.18337856,0,26,22.50566058,0,16.81252146,16.81252146,0,26,25.13785181,0,20,20,20,26,0,104.8306994,15.25618613,15.25618613,0,26,23.61851448,0,15.60436392,15.60436392,0,0,80.93586637,0,20,20,20,26,161.8717327,420.1573722,20,20,20,26,0,407.9196876
 01/02  10:00:00,7.318000018,14.99562699,14.99562699,0,0,71.81300125,0,20,20,20,26,307.8423674,190.0906097,15.66459935,15.66459935,0,26,71.81300125,0,17.28897508,17.28897508,0,26,302.7422085,0,17.10080686,17.10080686,0,26,71.81300125,0,16.22650311,16.22650311,0,26,82.87007709,0,16.75828214,16.75828214,0,26,71.81300125,0,20,20,20,26,0,107.1205624,15.28242726,15.28242726,0,26,66.36241565,0,16.06263656,16.06263656,0,0,351.1094093,0,20,20,20,26,702.2188185,269.7301181,20,20,20,26,0,416.5740758
 01/02  11:00:00,8.218000018,15.14387037,15.14387037,0,0,101.6232215,0,20,20,20,26,406.449975,104.8876374,15.81667213,15.81667213,0,26,101.6232215,0,17.89958083,17.89958083,0,26,403.7966682,0,17.24101636,17.24101636,0,26,101.6232215,0,16.49081429,16.49081429,0,26,159.2702493,0,16.85046864,16.85046864,0,26,101.6232215,0,20,20,20,26,0,100.6060124,15.44357742,15.44357742,0,26,92.52698751,0,17.07113464,17.07113464,0,0,620.336286,0,20.12212168,20.12212168,20,26,1240.672572,35.98155384,20,20,20,26,0,389.8007466
